Date	Price	Open	High	Low	Change
28-Feb-10	31.28	29.39	31.39	29.35	7.01
07-Mar-10	32.37	31.43	32.53	31.13	3.48
14-Mar-10	31.75	32.2	32.35	31.46	-1.92
21-Mar-10	32.99	31.5	33.14	31.45	3.91
28-Mar-10	33.71	33.29	34.1	33.09	2.18
04-Apr-10	34.54	33.57	34.56	33.54	2.46
11-Apr-10	35.34	34.6	35.88	34.44	2.32
18-Apr-10	38.69	35.29	38.88	34.54	9.48
25-Apr-10	37.3	38.84	38.92	36.63	-3.59
02-May-10	33.69	37.69	38.27	28.46	-9.68
09-May-10	36.26	35.75	37.86	35.5	7.63
16-May-10	34.62	36.39	36.94	33.05	-4.52
23-May-10	36.7	35.33	37.06	33.88	6.01
30-May-10	36.57	37.1	37.99	36.38	-0.35
06-Jun-10	36.22	36.9	37.02	34.6	-0.96
13-Jun-10	39.15	36.57	39.29	36.29	8.09
20-Jun-10	38.1	39.67	39.86	37.97	-2.68
27-Jun-10	35.28	38.13	38.54	34.74	-7.4
04-Jul-10	37.09	35.86	37.56	35.17	5.13
11-Jul-10	35.7	36.93	37.41	35.2	-3.75
18-Jul-10	37.13	35.7	37.88	34.23	4.01
25-Jul-10	36.75	37.14	38	36.41	-1.02
01-Aug-10	37.16	37.21	37.75	36.8	1.12
08-Aug-10	35.59	37.35	37.45	35.16	-4.22
15-Aug-10	35.66	35.37	36.38	35.23	0.2
22-Aug-10	34.52	35.97	36	33.65	-3.2
29-Aug-10	36.97	34.39	36.97	34.34	7.1
05-Sep-10	37.63	36.66	38.07	36.61	1.79
12-Sep-10	39.34	37.97	39.71	37.93	4.54
19-Sep-10	41.76	39.44	41.93	39.41	6.15
26-Sep-10	40.36	42	42.1	39.29	-3.35
03-Oct-10	42.01	40.23	42.07	39.68	4.09
10-Oct-10	44.96	42.11	45	41.78	7.02
17-Oct-10	43.92	45.5	45.57	42.86	-2.31
24-Oct-10	43	44.16	44.51	42.98	-2.09
31-Oct-10	45.3	43.17	45.74	43.17	5.35
07-Nov-10	44	45.31	45.9	43.38	-2.87
14-Nov-10	43.82	44.07	44.36	42.54	-0.41
21-Nov-10	45.11	43.81	45.39	43.7	2.94
28-Nov-10	45.35	45.07	45.57	44.41	0.53
05-Dec-10	45.79	45.52	46.28	45.3	0.97
12-Dec-10	45.8	46.34	46.44	45.57	0.02
19-Dec-10	46.23	45.94	46.53	45.46	0.94
26-Dec-10	46.08	46.12	46.67	45.9	-0.32
02-Jan-11	48.02	46.52	48.05	46.41	4.21
09-Jan-11	49.78	48.4	49.78	48.17	3.67
16-Jan-11	46.67	47.07	49.8	46.57	-6.25
23-Jan-11	48.01	46.7	49.37	46.67	2.87
30-Jan-11	49.5	47.97	49.53	47.76	3.1
06-Feb-11	50.98	49.7	51.43	49.66	2.99
13-Feb-11	50.08	50.97	52.13	49.93	-1.77
20-Feb-11	49.74	48.88	49.78	48.25	-0.68
27-Feb-11	51.43	50.18	51.47	49.67	3.4
06-Mar-11	50.28	51.63	51.67	49.27	-2.24
13-Mar-11	47.24	50.45	50.93	46.61	-6.05
20-Mar-11	50.22	48	50.29	47.89	6.31
27-Mar-11	49.22	50.45	50.62	49.04	-1.99
03-Apr-11	47.87	49.19	49.23	47.71	-2.74
10-Apr-11	46.78	47.72	48.02	46.69	-2.28
17-Apr-11	50.1	46.59	50.73	45.74	7.1
24-Apr-11	50.02	50.05	50.71	49.36	-0.16
01-May-11	49.52	49.96	50.26	49.36	-1
08-May-11	48.64	49.69	50	48.62	-1.78
15-May-11	47.89	48.46	48.92	47.25	-1.54
22-May-11	48.2	47.14	48.37	47.06	0.65
29-May-11	49.06	48.73	50.3	48.71	1.78
05-Jun-11	46.56	49.39	49.58	46.5	-5.1
12-Jun-11	45.75	46.74	47.61	45.48	-1.74
19-Jun-11	46.62	45.34	47.59	44.36	1.9
26-Jun-11	49.04	46.8	49.07	46.75	5.19
03-Jul-11	51.39	49	51.43	48.93	4.79
10-Jul-11	52.13	50.91	52.14	49.8	1.44
17-Jul-11	56.19	52.2	56.61	52.18	7.79
24-Jul-11	55.78	55.76	57.79	54.86	-0.73
31-Jul-11	53.37	56.83	57.07	51.8	-4.32
07-Aug-11	53.86	51.67	54.23	50.43	0.92
14-Aug-11	50.86	54.23	55	50.86	-5.57
21-Aug-11	54.8	52.07	54.83	50.73	7.75
28-Aug-11	53.44	55.45	56.01	53.12	-2.48
04-Sep-11	53.93	52.48	55.52	52.35	0.92
11-Sep-11	57.21	53.29	57.21	53.13	6.08
18-Sep-11	57.76	56.71	60.41	56.46	0.96
25-Sep-11	54.47	57.12	58.46	54.45	-5.7
02-Oct-11	52.83	54.34	54.97	50.61	-3.01
09-Oct-11	60.29	54.16	60.29	54.03	14.12
16-Oct-11	56.12	60.25	60.96	55.82	-6.92
23-Oct-11	57.85	56.6	58.43	56.16	3.08
30-Oct-11	57.18	57.49	58.48	56.17	-1.16
06-Nov-11	54.95	57.13	58.29	54.32	-3.9
13-Nov-11	53.56	54.79	55.88	53.55	-2.53
20-Nov-11	51.94	52.91	53.99	51.9	-3.02
27-Nov-11	55.67	53.19	56.23	52.89	7.18
04-Dec-11	56.23	56.21	56.63	55.25	1.01
11-Dec-11	54.43	55.95	56.49	53.95	-3.2
18-Dec-11	57.62	54.64	57.66	54.35	5.86
25-Dec-11	57.86	57.59	58.44	57.22	0.42
01-Jan-12	60.34	58.49	60.39	58.43	4.29
08-Jan-12	59.97	60.79	61.11	59.81	-0.61
15-Jan-12	60.04	60.6	61.62	59.96	0.12
22-Jan-12	63.9	60.38	64.92	59.94	6.43
29-Jan-12	65.67	63.67	65.71	63.63	2.77
05-Feb-12	70.49	65.48	71.09	65.46	7.34
12-Feb-12	71.73	71.36	75.18	69.52	1.76
19-Feb-12	74.63	72.41	74.7	72.02	4.04
26-Feb-12	77.88	74.47	78.32	73.75	4.35
04-Mar-12	77.88	77.92	78.25	73.75	0
11-Mar-12	83.65	78.43	85.72	78.14	7.41
18-Mar-12	85.15	85.48	87.09	83.14	1.79
25-Mar-12	85.65	85.68	88.78	85.04	0.59
01-Apr-12	90.53	85.98	90.67	85.77	5.7
08-Apr-12	86.46	89.45	92	86.22	-4.5
15-Apr-12	81.85	87.15	88.61	81.49	-5.33
22-Apr-12	86.14	81.52	88.29	79.29	5.24
29-Apr-12	80.75	85.4	85.49	80.74	-6.26
06-May-12	80.96	80.21	82.27	79.82	0.26
13-May-12	75.77	80.37	81.07	74.6	-6.41
20-May-12	80.33	76.36	82.36	76.29	6.02
27-May-12	80.14	81.56	83.07	80.07	-0.24
03-Jun-12	82.9	80.21	82.94	78.36	3.44
10-Jun-12	82.02	83.96	84.07	80.96	-1.06
17-Jun-12	83.16	81.57	84.29	81.48	1.39
24-Jun-12	83.43	82.47	83.43	80.8	0.32
01-Jul-12	86.55	83.53	87.76	83.37	3.74
08-Jul-12	86.42	86.47	88.55	84.67	-0.15
15-Jul-12	86.33	86.45	87.91	86.16	-0.1
22-Jul-12	83.59	84.91	87.1	81.43	-3.17
29-Jul-12	87.96	84.42	88.28	83.97	5.23
05-Aug-12	88.81	88.18	89.29	87.89	0.97
12-Aug-12	92.59	89.06	92.6	89.04	4.26
19-Aug-12	94.75	92.86	96.41	92.59	2.33
26-Aug-12	95.03	97.14	97.27	93.89	0.3
02-Sep-12	97.21	95.11	97.5	94.93	2.29
09-Sep-12	98.75	97.21	99.57	93.71	1.58
16-Sep-12	100.01	99.91	100.72	99.09	1.28
23-Sep-12	95.3	98.12	99.3	94.34	-4.71
30-Sep-12	93.23	95.88	96.68	92.95	-2.17
07-Oct-12	89.96	92.41	92.51	89.08	-3.51
14-Oct-12	87.12	90.34	93.26	87.09	-3.16
21-Oct-12	86.29	87.49	90.77	84.43	-0.95
28-Oct-12	82.4	84.98	86.14	82.11	-4.51
04-Nov-12	78.15	83.36	84.39	76.25	-5.16
11-Nov-12	75.38	79.16	79.21	72.25	-3.54
18-Nov-12	81.64	77.24	81.71	77.13	8.3
25-Nov-12	83.61	82.27	84.89	81.75	2.41
02-Dec-12	76.18	84.81	84.94	74.09	-8.89
09-Dec-12	72.83	75	78.51	72.23	-4.4
16-Dec-12	74.19	72.7	76.41	71.6	1.87
23-Dec-12	72.8	74.34	74.89	72.09	-1.87
30-Dec-12	75.29	72.93	79.29	72.71	3.42
06-Jan-13	74.33	74.57	75.98	73.6	-1.28
13-Jan-13	71.43	71.81	72.96	69.05	-3.9
20-Jan-13	62.84	72.08	73.57	62.14	-12.03
27-Jan-13	64.8	62.55	66.09	62.27	3.12
03-Feb-13	67.85	64.84	68.4	63.14	4.71
10-Feb-13	65.74	68.07	69.28	65.7	-3.11
