Date,Open,High,Low,Close,,
02-Mar-09,8762.88,8762.88,8563.52,8607.08,,
03-Mar-09,8583.06,8635.2,8390.21,8427.29,-0.021109871,-0.02
04-Mar-09,8473.25,8501.46,8373.24,8446.49,0.002275721,0
05-Mar-09,8535.03,8535.03,8166.97,8197.92,-0.029870507,-0.03
06-Mar-09,8103.75,8347.74,8047.17,8325.82,0.015481066,0.02
09-Mar-09,8259.22,8259.22,8110.1,8160.4,-0.020068342,-0.02
12-Mar-09,8274.78,8439.71,8274.78,8343.75,0.022219568,0.02
13-Mar-09,8480.74,8793.21,8480.74,8756.61,0.048296088,0.05
16-Mar-09,8793.89,8955.73,8697.46,8943.54,0.02112264,0.02
17-Mar-09,8942.01,9024.12,8801.79,8863.82,-0.008953661,-0.01
18-Mar-09,8956.3,9120.46,8951.32,8976.68,0.012652281,0.01
19-Mar-09,9023.04,9086.77,8900.39,9001.75,0.002788899,0
20-Mar-09,8951.34,8999.98,8867.13,8966.68,-0.003903518,0
23-Mar-09,9040.3,9454.69,9040.3,9424.02,0.049746264,0.05
24-Mar-09,9549.52,9699,9402.64,9471.04,0.004976973,0
25-Mar-09,9442.3,9706.47,9430.45,9667.9,0.020572398,0.02
26-Mar-09,9739.93,10061.36,9739.93,10003.1,0.034083926,0.03
27-Mar-09,10036.8,10127.09,9913.4,10048.49,0.00452733,0
30-Mar-09,9902.35,9902.35,9520.96,9568.14,-0.048983545,-0.05
31-Mar-09,9633.21,9826.22,9547.21,9708.5,0.014562961,0.01
01-Apr-09,9745.77,9921.96,9546.29,9901.99,0.019733957,0.02
02-Apr-09,10107.25,10432.31,10107.25,10348.83,0.044137723,0.04
06-Apr-09,10521.78,10654.89,10410.44,10534.87,0.017817238,0.02
08-Apr-09,10283.58,10778.11,10171.91,10742.34,0.019502235,0.02
09-Apr-09,10876.15,10932.12,10655.96,10803.86,0.005710535,0.01
13-Apr-09,10916.43,11069.54,10800.84,10967.22,0.015007346,0.02
15-Apr-09,10805.14,11337.75,10719.18,11284.73,0.028539661,0.03
16-Apr-09,11358.06,11367.23,10900.47,10947.4,-0.030348499,-0.03
17-Apr-09,11067.71,11339.47,10946.25,11023.09,0.006890179,0.01
20-Apr-09,11065.1,11209.66,10863.28,10979.5,-0.003962266,0
21-Apr-09,10765.39,11068.82,10764.08,10898.11,-0.007440518,-0.01
22-Apr-09,10968.6,11036.24,10715.66,10817.54,-0.007420489,-0.01
23-Apr-09,10841.57,11203.28,10758.97,11134.99,0.028923512,0.03
24-Apr-09,11149.47,11362.88,11070.33,11329.05,0.017277821,0.02
27-Apr-09,11237.42,11492.1,11176.55,11371.85,0.00377078,0
28-Apr-09,11371.34,11375.97,10961.76,11001.75,-0.033086652,-0.03
29-Apr-09,11091.56,11430.25,11091.56,11403.25,0.035844051,0.04
04-May-09,11635.24,12161.9,11635.24,12134.75,0.062174835,0.06
05-May-09,12159.74,12197.88,11985.88,12131.08,-0.000302483,0
06-May-09,12100.69,12272.1,11899.41,11952.75,-0.014809377,-0.01
07-May-09,12064.51,12143.95,11981.13,12116.94,0.013643096,0.01
08-May-09,12092.97,12180.07,11765.06,11876.43,-0.02004871,-0.02
11-May-09,11997.37,12026.6,11621.3,11682.99,-0.016421826,-0.02
12-May-09,11629.97,12194.63,11625.39,12158.03,0.039855919,0.04
13-May-09,12201.93,12256.43,11934.44,12019.65,-0.011447046,-0.01
14-May-09,11774.04,11935.86,11695.52,11872.91,-0.012283476,-0.01
15-May-09,11948.7,12219.54,11948.7,12173.42,0.024995552,0.02
18-May-09,13479.39,14284.21,13479.39,14284.21,0.159899845,0.16
19-May-09,14757.82,14930.54,13834.13,14302.03,0.001246754,0
20-May-09,14230.73,14405.51,13976.49,14060.66,-0.017020658,-0.02
21-May-09,14043.38,14089.51,13704.43,13736.54,-0.023321391,-0.02
22-May-09,13663.54,13936.93,13611.3,13887.15,0.010904517,0.01
25-May-09,13988.1,14028.06,13819.25,13913.22,0.001875515,0
26-May-09,13929.84,13991.46,13518.79,13589.23,-0.0235619,-0.02
27-May-09,13780.41,14122.78,13780.41,14109.64,0.037580684,0.04
28-May-09,14150.51,14377.23,14078.62,14296.01,0.013122226,0.01
29-May-09,14319.87,14727.28,14319.87,14625.25,0.02276901,0.02
01-Jun-09,14746.51,14906.81,14655.49,14840.63,0.014619203,0.01
02-Jun-09,14892.93,14994.31,14608.23,14874.91,0.002307211,0
03-Jun-09,14902.62,15046.43,14733.59,14870.9,-0.000269618,0
04-Jun-09,14755.08,15026.03,14599.43,15008.68,0.009222417,0.01
05-Jun-09,15040.24,15257.3,14993.6,15103.55,0.006301115,0.01
08-Jun-09,15153.21,15200.82,14604.23,14665.92,-0.029403381,-0.03
09-Jun-09,14618.98,15161.22,14526.69,15127,0.030954792,0.03
10-Jun-09,15168.18,15580.81,15168.18,15466.81,0.022215211,0.02
11-Jun-09,15517.36,15568.74,15240.73,15411.47,-0.0035844,0
12-Jun-09,15446.82,15600.3,15174.28,15237.94,-0.011323667,-0.01
15-Jun-09,15195.83,15261.03,14807.26,14875.52,-0.024071462,-0.02
16-Jun-09,14788.27,15022.19,14621.97,14957.91,0.005523348,0.01
17-Jun-09,14978.5,14996.39,14447.02,14522.84,-0.029517674,-0.03
18-Jun-09,14503.05,14630.73,14188.25,14265.53,-0.017876445,-0.02
19-Jun-09,14321.98,14559.08,14179.77,14521.89,0.017811028,0.02
22-Jun-09,14591.28,14668.4,14269.77,14326.22,-0.013565741,-0.01
23-Jun-09,14147.87,14394.19,14016.95,14324.01,-0.000154275,0
24-Jun-09,14376.82,14479.82,14207.02,14422.73,0.006868284,0.01
25-Jun-09,14476.15,14578.46,14261.14,14345.62,-0.005360765,-0.01
26-Jun-09,14373.57,14781.94,14373.57,14764.64,0.028790464,0.03
29-Jun-09,14815.9,14955.55,14685.45,14785.74,0.00142807,0
30-Jun-09,14830.97,14907.48,14420.41,14493.84,-0.019939471,-0.02
01-Jul-09,14506.43,14727.49,14355.52,14645.47,0.010407341,0.01
02-Jul-09,14694.31,14764.35,14469.69,14658.49,0.000888617,0
03-Jul-09,14552.72,14945.85,14499.74,14913.05,0.017216979,0.02
06-Jul-09,14962.12,15097.87,13959.44,14043.4,-0.060084134,-0.06
07-Jul-09,14103.65,14251.88,14000.68,14170.45,0.009006276,0.01
08-Jul-09,14039.58,14039.58,13701.76,13769.15,-0.028728228,-0.03
09-Jul-09,13796.19,13879.18,13643.97,13757.46,-0.00084936,0
10-Jul-09,13803.12,13897.19,13418.39,13504.22,-0.018578993,-0.02
13-Jul-09,13405.95,13461.68,13219.99,13400.32,-0.007723642,-0.01
14-Jul-09,13549.42,13903.48,13549.42,13853.7,0.033273758,0.03
15-Jul-09,13917.27,14299.54,13891.04,14253.24,0.028431904,0.03
16-Jul-09,14351.97,14493.1,14169.58,14250.25,-0.000209799,0
17-Jul-09,14325.58,14800.7,14325.58,14744.92,0.034124166,0.03
20-Jul-09,14854.17,15209.36,14854.17,15191.01,0.029805189,0.03
21-Jul-09,15218.83,15234.21,14955.88,15062.49,-0.008496258,-0.01
22-Jul-09,15124.92,15369.42,14786.58,14843.12,-0.014671089,-0.01
23-Jul-09,15008.78,15264.84,14997.75,15231.04,0.025798993,0.03
24-Jul-09,15272.01,15418.61,15168.52,15378.96,0.009664891,0.01
27-Jul-09,15350.89,15463.09,15228.46,15375.04,-0.000254926,0
28-Jul-09,15428.5,15463.46,15240.53,15331.94,-0.002807181,0
29-Jul-09,15293.19,15379.43,14888.41,15173.46,-0.010390385,-0.01
30-Jul-09,15169.23,15409.91,15065.48,15387.96,0.014037536,0.01
31-Jul-09,15449.47,15732.81,15449.47,15670.31,0.018182454,0.02
03-Aug-09,15694.78,15963.36,15608.4,15924.23,0.016074009,0.02
04-Aug-09,15940.1,16002.46,15699.13,15830.98,-0.005873069,-0.01
05-Aug-09,15882.39,15973.1,15695.11,15903.83,0.004591181,0
06-Aug-09,15881.47,15969.81,15443.22,15514.03,-0.024815185,-0.02
07-Aug-09,15440.95,15501.94,15104,15160.24,-0.023068565,-0.02
10-Aug-09,15287.14,15417.34,14902.02,15009.77,-0.009974889,-0.01
11-Aug-09,15000.38,15218.65,14864.23,15074.59,0.004309222,0
12-Aug-09,14953.44,15043.62,14701.05,15020.16,-0.003617246,0
13-Aug-09,15207.96,15545.13,15207.96,15518.49,0.032638917,0.03
14-Aug-09,15530.38,15535.47,15367.61,15411.63,-0.006909797,-0.01
17-Aug-09,15284.23,15284.23,14740.63,14784.92,-0.041514677,-0.04
18-Aug-09,14745.8,15134.51,14740.26,15035.26,0.016790367,0.02
19-Aug-09,15079.04,15096.94,14684.45,14809.64,-0.015119789,-0.02
20-Aug-09,14930.05,15145,14928.18,15012.32,0.013592877,0.01
21-Aug-09,14951.49,15275.17,14835.08,15240.83,0.015106813,0.02
24-Aug-09,15362.93,15676.35,15362.93,15628.75,0.025134156,0.03
25-Aug-09,15573.91,15735.32,15423.39,15688.47,0.003813881,0
26-Aug-09,15763.09,15831.49,15695.94,15769.85,0.005173842,0.01
27-Aug-09,15711.8,15853.71,15685.49,15781.07,0.000711231,0
28-Aug-09,15770.19,15957.67,15663.35,15922.34,0.008912034,0.01
31-Aug-09,15812.15,15821.35,15589.8,15666.64,-0.016189544,-0.02
01-Sep-09,15691.27,15923.09,15475.28,15551.19,-0.007396448,-0.01
02-Sep-09,15482.05,15628.1,15392.68,15467.46,-0.005398701,-0.01
03-Sep-09,15539.34,15598.18,15356.72,15398.33,-0.0044794,0
04-Sep-09,15425.86,15740.83,15358.94,15689.12,0.018708417,0.02
07-Sep-09,15793.27,16035.5,15793.27,16016.32,0.020640724,0.02
08-Sep-09,16030.56,16232.16,16030.56,16123.67,0.006680176,0.01
09-Sep-09,16111.09,16215.74,16044.77,16183.55,0.003706916,0
10-Sep-09,16295.92,16434.77,16166.42,16216.86,0.002056148,0
11-Sep-09,16254.57,16337.98,16130.32,16264.3,0.00292108,0
14-Sep-09,16185.26,16252.18,16119.95,16214.19,-0.003085737,0
15-Sep-09,16255.42,16477.23,16255.42,16454.45,0.014709173,0.01
16-Sep-09,16498.59,16700.56,16498.59,16677.04,0.013436966,0.01
17-Sep-09,16686.38,16820.02,16636.55,16711.11,0.002040845,0
18-Sep-09,16650.05,16765.03,16610.05,16741.3,0.001804953,0
22-Sep-09,16805.22,16943.49,16763.78,16886.43,0.00863162,0.01
23-Sep-09,16905.5,16905.58,16683.78,16719.5,-0.009934638,-0.01
24-Sep-09,16634.08,16834.1,16494.92,16781.43,0.003697215,0
25-Sep-09,16679.99,16812.02,16613.22,16693,-0.005283448,-0.01
29-Sep-09,16829.11,16907.84,16802.8,16852.91,0.009533872,0.01
30-Sep-09,16868.46,17142.52,16868.46,17126.84,0.016123481,0.02
01-Oct-09,17186.2,17195.61,17059.36,17134.55,0.000450069,0
05-Oct-09,17062.01,17062.01,16835.8,16866.41,-0.015772823,-0.02
06-Oct-09,16879.38,16988.56,16622.05,16958.54,0.005447472,0.01
07-Oct-09,17069.42,17120.56,16764.07,16806.66,-0.008996305,-0.01
08-Oct-09,16908.02,16998.52,16775.36,16843.54,0.002191964,0
09-Oct-09,16915.96,16963.08,16606.95,16642.66,-0.011997922,-0.01
12-Oct-09,16687.32,17068.78,16687.32,17026.67,0.02281166,0.02
14-Oct-09,17117.9,17274.59,17117.9,17231.11,0.011935533,0.01
15-Oct-09,17274.07,17350.39,17092.83,17195.2,-0.002086196,0
16-Oct-09,17196.8,17347.85,17126.55,17322.82,0.007394432,0.01
17-Oct-09,17452.56,17493.17,17260.66,17326.01,0.000184133,0
20-Oct-09,17414.8,17457.26,17185.04,17223.01,-0.00596256,-0.01
21-Oct-09,17229.72,17248.69,16997.86,17009.17,-0.01249367,-0.01
22-Oct-09,17031.54,17031.54,16721.26,16789.74,-0.012984625,-0.01
23-Oct-09,16795.66,17006.77,16765.2,16810.81,0.001254146,0
26-Oct-09,16808.05,16938.88,16706.08,16740.5,-0.004191199,0
27-Oct-09,16699.09,16699.09,16311.5,16353.4,-0.023395106,-0.02
28-Oct-09,16335.78,16411.14,16144.17,16283.49,-0.004284116,0
29-Oct-09,16191.39,16264.09,15993.83,16052.72,-0.014273405,-0.01
30-Oct-09,16135.87,16360.88,15805.2,15896.28,-0.009793186,-0.01
03-Nov-09,15838.63,15957.06,15330.56,15404.94,-0.031396882,-0.03
04-Nov-09,15487.97,15929.09,15487.97,15912.13,0.032393474,0.03
05-Nov-09,15926.13,16092.38,15564.89,16063.9,0.009492807,0.01
06-Nov-09,16137.42,16283.86,16075.19,16158.28,0.005858093,0.01
09-Nov-09,16190.79,16517.42,16147.21,16498.72,0.02085019,0.02
10-Nov-09,16552.43,16677.53,16371.66,16440.56,-0.00353135,0
11-Nov-09,16444.44,16887.8,16405.19,16849.6,0.024575465,0.02
12-Nov-09,16822.18,16896.62,16605.01,16696.03,-0.009155951,-0.01
13-Nov-09,16693.15,16909.74,16666.7,16848.83,0.009110252,0.01
16-Nov-09,16893.11,17083.2,16893.11,17032.51,0.010842653,0.01
17-Nov-09,17036.23,17080.17,16882.98,17050.65,0.001064455,0
18-Nov-09,17032.01,17098.79,16958.41,16998.78,-0.003046749,0
19-Nov-09,17004.98,17004.98,16712.33,16785.65,-0.012617222,-0.01
20-Nov-09,16772.75,17041.79,16635.75,17021.85,0.013973458,0.01
23-Nov-09,17067.14,17214.58,17045.02,17180.18,0.009258581,0.01
24-Nov-09,17230.86,17230.86,17027.52,17131.08,-0.002862036,0
25-Nov-09,17149.08,17290.48,17124.15,17198.95,0.003953978,0
26-Nov-09,17199.05,17202.51,16808.87,16854.93,-0.02020514,-0.02
27-Nov-09,16718.8,16718.8,16210.44,16632.01,-0.013314044,-0.01
30-Nov-09,16655.75,17026.91,16655.75,16926.22,0.017534747,0.02
01-Dec-09,16947.46,17218.46,16947.46,17198.27,0.015944898,0.02
02-Dec-09,17226.49,17329.68,17142.36,17169.91,-0.001650364,0
03-Dec-09,17199.64,17361.27,17128.21,17185.68,0.000918046,0
04-Dec-09,17182.23,17291.83,17032.81,17101.54,-0.004907961,0
07-Dec-09,17106.74,17176.62,16943.01,16983.14,-0.006947431,-0.01
08-Dec-09,16984.54,17237.79,16964.11,17227.68,0.014296305,0.01
09-Dec-09,17204.32,17227.96,17057.37,17125.22,-0.005965162,-0.01
10-Dec-09,17107,17231.05,17032.3,17189.31,0.003735448,0
11-Dec-09,17199.74,17351.71,17056.12,17119.03,-0.004096969,0
14-Dec-09,17118.14,17275.19,17048.17,17097.55,-0.001255532,0
15-Dec-09,17150.59,17200.47,16835.78,16877.16,-0.01297395,-0.01
16-Dec-09,16866.95,16996.12,16777.94,16912.77,0.002107729,0
17-Dec-09,16912.25,16979.52,16826,16894.25,-0.001095631,0
18-Dec-09,16855.91,16899.19,16693.06,16719.83,-0.010377887,-0.01
21-Dec-09,16724.84,16750.99,16577.78,16601.2,-0.007120458,-0.01
22-Dec-09,16633.81,16738.12,16633.81,16692,0.005454581,0.01
23-Dec-09,16723.96,17252.09,16723.96,17231.11,0.031786908,0.03
24-Dec-09,17265.47,17413.69,17198.09,17360.61,0.007487376,0.01
29-Dec-09,17388.67,17486.05,17372.63,17401.56,0.002356011,0
30-Dec-09,17402.24,17440.05,17322.8,17343.82,-0.00332361,0
31-Dec-09,17365.37,17530.94,17365.37,17464.81,0.006951752,0.01
04-Jan-10,17473.45,17582.84,17378.38,17558.73,0.005363263,0.01
05-Jan-10,17555.77,17729.78,17555.77,17686.24,0.007235674,0.01
06-Jan-10,17719.47,17790.33,17636.71,17701.13,0.000841543,0
07-Jan-10,17701.97,17733.34,17566.54,17615.72,-0.004836794,0
08-Jan-10,17603.87,17658.12,17508.96,17540.29,-0.004291165,0
11-Jan-10,17724.59,17776.57,17500.79,17526.71,-0.000774517,0
12-Jan-10,17534.1,17612,17392.55,17422.51,-0.005962955,-0.01
13-Jan-10,17368.03,17528.31,17276.46,17509.8,0.004997676,0
14-Jan-10,17525.71,17628.04,17525.71,17584.87,0.004278149,0
15-Jan-10,17604.31,17639.85,17529.11,17554.3,-0.001739939,0
