time,Price,Open,High,Low,Vol.,Change_g,Change_cal,Change_r,Change_ln,oil,sensex
1,41.65,40.1,42.07,39.44,241.54K,0.0374,3.735990037,3.74,0.036678928,0.04,-0.02
2,45.38,41.38,45.76,41.04,319.76K,0.0896,8.955582233,8.96,0.085770111,0.09,0
3,43.61,45.42,45.7,42.86,228.19K,-0.039,-3.900396651,-3.9,-0.039784997,-0.04,-0.03
4,45.52,43.61,46.3,43.45,306.35K,0.0438,4.37972942,4.38,0.042865308,0.04,0.02
5,47.07,45.76,48.83,44.97,390.59K,0.0341,3.405096661,3.41,0.033484066,0.03,-0.02
6,45.71,47.25,48.32,45.33,289.16K,-0.0289,-2.889313788,-2.89,-0.029318763,-0.03,0.02
7,42.33,45.57,46.04,42.08,339.88K,-0.0739,-7.394443229,-7.39,-0.076821038,-0.08,0.05
8,47.03,42.73,47.22,42.51,316.57K,0.111,11.10323648,11.1,0.105289641,0.11,0.02
9,46.25,47.21,48.14,45.6,221.03K,-0.0166,-1.658515841,-1.66,-0.016724232,-0.02,-0.01
10,47.35,45.2,47.63,43.62,240.08K,0.0238,2.378378378,2.38,0.023505356,0.02,0.01
11,49.16,47.06,49.82,46.53,214.93K,0.0382,3.822597677,3.82,0.037513465,0.04,0
12,48.14,48.67,49.87,46.92,125.34K,-0.0207,-2.074857608,-2.07,-0.020966852,-0.02,0
13,51.61,49.73,52.25,48.78,96.38K,0.0721,7.208142916,7.21,0.06960202,0.07,0.05
14,51.06,51.06,52.13,50.3,25.55K,-0.0107,-1.065684945,-1.07,-0.01071404,-0.01,0
15,53.8,52.13,54.05,51.62,229.89K,0.0537,5.366235801,5.37,0.052272055,0.05,0.02
16,53.98,53.83,54.2,52.45,212.79K,0.0033,0.334572491,0.33,0.00334014,0,0.03
17,52.77,53.73,54.18,51.86,283.73K,-0.0224,-2.241570952,-2.24,-0.02267076,-0.02,0
18,54.34,52.84,54.66,52.76,196.92K,0.0298,2.975175289,2.98,0.029317757,0.03,-0.05
19,52.38,54,54.28,51.64,181.17K,-0.0361,-3.606919396,-3.61,-0.036735765,-0.04,0.01
20,48.41,52.25,52.25,48.11,222.17K,-0.0758,-7.579228713,-7.58,-0.078818435,-0.08,0.02
21,49.66,48.64,50,47.77,240.25K,0.0258,2.582111134,2.58,0.025493376,0.03,0.04
22,48.39,48.96,48.96,47.26,234.22K,-0.0256,-2.557390254,-2.56,-0.025906599,-0.03,0.02
23,52.64,48.45,52.87,48.45,270.27K,0.0878,8.782806365,8.78,0.084183106,0.08,0.02
24,52.51,52.36,53.9,51.02,212.17K,-0.0025,-0.246960486,-0.25,-0.002472659,0,0.01
25,51.05,52.4,53.6,49.81,228.98K,-0.0278,-2.780422777,-2.78,-0.028198083,-0.03,0.02
26,49.15,51.39,51.82,48.4,254.03K,-0.0372,-3.721841332,-3.72,-0.037928698,-0.04,0.03
27,49.38,48.47,51.3,47.37,352.61K,0.0047,0.467955239,0.47,0.004668637,0,-0.03
28,52.24,49.96,52.45,49.72,294.84K,0.0579,5.79181855,5.79,0.056303001,0.06,0.01
29,50.05,52,52.15,48.84,290.46K,-0.0419,-4.192189893,-4.19,-0.042825979,-0.04,0
30,49.41,49.96,51.12,48.85,284.71K,-0.0128,-1.278721279,-1.28,-0.012869673,-0.01,-0.01
31,49.25,49.16,50.79,48.91,228.06K,-0.0032,-0.323821089,-0.32,-0.003243465,0,-0.01
32,49.98,49.7,50.48,49.11,196.96K,0.0148,1.482233503,1.48,0.014713558,0.01,0.03
33,50.33,49.93,51.37,49.41,137.02K,0.007,0.700280112,0.7,0.006978395,0.01,0.02
34,45.88,50.16,50.31,45.44,89.90K,-0.0884,-8.841645142,-8.84,-0.092572029,-0.09,0
35,46.51,45.26,47.2,43.83,23.86K,0.0137,1.373147341,1.37,0.013638051,0.01,-0.03
36,48.85,48.68,49.09,47.7,238.73K,0.0503,5.031176091,5.03,0.049087035,0.05,0.04
37,49.62,48.49,49.92,48.37,227.30K,0.0158,1.576253838,1.58,0.0156396,0.02,0.06
38,51.55,49.65,51.75,49.06,230.87K,0.0389,3.889560661,3.89,0.038158232,0.04,0
39,50.14,51.45,51.45,48.01,265.29K,-0.0274,-2.735208535,-2.74,-0.027733118,-0.03,-0.01
40,49.92,50.1,50.19,48.55,186.82K,-0.0044,-0.43877144,-0.44,-0.004397369,0,0.01
41,50.97,49.25,51.42,49.12,234.83K,0.021,2.103365385,2.1,0.0208155,0.02,-0.02
42,51.12,50.79,51.94,50.21,208.30K,0.0029,0.294290759,0.29,0.002938586,0,-0.02
43,53.2,50.95,53.65,50.43,248.75K,0.0407,4.06885759,4.07,0.039882586,0.04,0.04
44,54.47,52.62,54.64,52.56,229.78K,0.0239,2.387218045,2.39,0.023591695,0.02,-0.01
45,53.84,54.46,54.83,53.5,234.31K,-0.0116,-1.156599963,-1.16,-0.011633406,-0.01,-0.01
46,56.34,54.12,56.47,53.57,334.30K,0.0464,4.643387816,4.64,0.045388077,0.05,0.02
47,56.71,56.3,58.57,55.46,377.83K,0.0066,0.656727015,0.66,0.0065458,0.01,0.16
48,58.63,56.5,58.75,56.15,291.82K,0.0339,3.38564627,3.39,0.033295949,0.03,0
49,58.5,58.49,58.63,56.78,290.03K,-0.0022,-0.22172949,-0.22,-0.002219757,0,-0.02
50,58.85,58.1,60.08,57.81,305.96K,0.006,0.598290598,0.6,0.005965079,0.01,-0.02
51,58.02,59.29,59.9,57.41,311.80K,-0.0141,-1.410365336,-1.41,-0.014204055,-0.01,0.01
52,58.62,57.73,59,56.55,260.46K,0.0103,1.034126163,1.03,0.010288157,0.01,0
53,56.34,58.54,58.88,56.07,216.09K,-0.0389,-3.889457523,-3.89,-0.039671173,-0.04,-0.02
54,59.03,56.47,59.33,56.12,134.71K,0.0477,4.77458289,4.77,0.046641027,0.05,0.04
55,59.65,59.16,60.48,58.55,40.96K,0.0105,1.0503134,1.05,0.010448359,0.01,0.01
56,62.04,60.18,62.26,59.86,270.02K,0.0401,4.006705784,4.01,0.03928519,0.04,0.02
57,61.05,61.68,61.87,59.92,237.41K,-0.016,-1.595744681,-1.6,-0.016086138,-0.02,0.01
