ID,YEAR,DEPOSIT MONEY BANK ASSETS to (DEPOSIT MONEY + CENTRAL) BANK ASSETS (%),LIQUID LIABILITIES to GDP (%),PRIVATE CREDIT BY DEPOSIT MONEY BANKS AND OTHER FINANCIAL INSTITUTIONS to GDP (%),STOCK MARKET CAPITALIZATION to GDP (%),STOCK MARKET TOTAL VALUE TRADED to GDP (%),FDI/GDP
1,1990,32.4473,8.44269,2.928444,0,0,0.251308552
2,1991,28.56992,8.084366,2.305661,0,0,0.303188963
3,1992,28.45853,9.953646,2.372035,1.166898,0,0.350800517
4,1993,25.10508,11.16222,2.705455,1.916935,0.0643688,2.095116345
5,1994,21.49018,11.32824,2.698539,16.09549,0.5822583,4.27950048
6,1995,22.2646,11.862,2.772812,26.77985,0.7100598,1.647296722
7,1996,27.06619,11.10665,2.928592,21.27029,0.2235421,1.730357096
8,1997,42.61448,12.89723,4.132891,18.87242,0.3982475,1.187002423
9,1998,29.65668,13.66497,5.102656,16.67853,0.6528521,2.237678076
10,1999,24.5716,13.67008,6.308849,14.35828,0.4793239,3.156999582
11,2000,25.11927,14.26495,7.162771,9.805331,0.1786581,3.329303379
12,2001,38.78389,14.75687,6.872376,6.593411,0.1682884,1.680555283
13,2002,41.96622,15.75337,6.487453,4.902559,0.1758765,0.955673775
14,2003,40.32143,17.33655,6.703148,6.553684,0.349956,1.791715353
15,2004,63.98365,18.01854,7.123662,6.409339,0.6591647,1.568114186
16,2005,64.44887,17.71895,8.291052,5.26136,0.6096076,1.350866032
17,2006,69.07981,18.48905,9.682071,3.404107,0.2562543,3.116219155
18,2007,69.67914,21.52058,11.63861,6.23009,0.3890915,5.586606897
19,2008,68.36333,23.83346,13.56448,8.807328,0.7218261,9.517042508
20,2009,72.63011,26.31113,14.80898,9.112297,0.5603427,9.132935172
21,2010,78.42662,26.57555,13.7782,8.477292,0.2404153,7.855067085
22,2011,78.89052,27.25519,13.0947,7.632938,0.4468203,8.207966429
23,2012,76.88756,27.5758,13.19883,7.462886,0.3284232,7.855367882
24,2013,73.40298,27.29191,14.14392,0,0.246333,5.099781812
25,2014,68.92035,28.96001,16.21995,0,0,6.27484841
1,1990,0,0,0,0,0,0
