bank,year,VaR,cd,id,int_tota,roa,roe,roi,car,npa_adv
1,2005,-0.038154522,4.58,53.70,3.21,0.99,19.43,8.37,12.45,2.65
1,2006,-0.024968851,5.70,42.77,3.27,0.89,17.04,7.77,11.88,1.88
1,2007,-0.038497679,6.68,34.25,2.84,0.84,15.41,6.71,12.34,1.56
1,2008,-0.04349105,9.59,35.26,2.64,1.01,16.75,7.05,13.54,1.78
1,2009,-0.06047852,7.49,37.19,2.48,1.04,17.05,6.69,14.25,1.79
1,2010,-0.034748602,7.62,36.78,2.35,0.88,14.80,6.20,13.39,1.72
1,2011,-0.033736049,10.11,31.65,2.86,0.71,12.62,6.71,11.98,1.63
1,2012,-0.036518641,5.18,29.91,3.38,0.88,15.72,7.88,13.86,1.82
1,2013,-0.033018862,5.47,29.17,3.06,0.97,15.43,8.20,12.92,2.10
1,2014,-0.028899558,6.09,28.60,2.93,0.65,10.03,8.52,12.44,2.57
1,2015,-0.026281131,7.35,30.55,2.86,0.68,10.62,8.03,12.00,2.12
1,2016,-0.03355524,7.49,33.26,2.60,0.46,7.30,8.00,13.12,3.81
1,2017,-0.026676591,6.26,37.46,2.44,0.41,6.31,7.19,13.11,3.71
1,2018,-0.026265446,5.56,39.20,2.43,-0.19,-3.21,7.70,12.60,5.73
2,2005,-0.047804291,3.33,45.58,3.31,0.75,12.58,7.96,12.61,1.89
2,2006,-0.038601024,3.56,37.49,3.05,0.79,12.28,8.05,13.65,0.87
2,2007,-0.037218591,5.13,27.97,2.79,0.80,12.45,7.31,11.80,0.60
2,2008,-0.051869666,6.16,28.86,2.42,0.89,14.58,6.95,12.94,0.47
2,2009,-0.052351166,5.51,27.26,2.52,1.09,18.62,6.87,14.05,0.31
2,2010,-0.034127159,5.61,25.36,2.35,1.21,21.86,6.43,14.36,0.34
2,2011,-0.024273664,6.50,23.38,2.76,1.33,23.47,7.20,14.52,0.35
2,2012,-0.035736933,5.63,21.62,2.56,1.24,20.64,8.00,14.67,0.54
2,2013,-0.029321844,2.84,25.62,2.28,0.90,15.07,7.32,13.30,1.28
2,2014,-0.0473815,3.27,20.41,1.98,0.75,13.36,7.32,12.28,1.52
