"","year","SBIN.NS","BANKBARODA.NS","BANKINDIA.NS","ALBK.NS","ANDHRABANK.NS","CANBK.NS","CORPBANK.NS","DENABANK.NS","IDBI.NS","IOB.NS","ORIENTBANK.NS","PNB.NS","SYNDIBANK.NS","UCOBANK.NS","UNIONBANK.NS","VIJAYABANK.NS","AXISBANK.NS","CUB.NS","FEDERALBNK.NS","HDFCBANK.NS","ICICIBANK.NS","INDUSINDBK.NS","J.KBANK.BO","KTKBANK.BO","KARURVYSYA.NS","KOTAKBANK.BO","LAKSHVILAS.NS","SOUTHBANK.NS"
"1",2004,-2.95,-5.11,-4.57,-3.17,-3.99,-5.1,-4.26,-3.37,-5.35,-3.91,-5.18,-5.72,-3.98,-4.18,-4.36,-4.47,-4.06,-3.64,-4.03,-2.83,-3.28,-3.85,-4.16,-4.11,-3.54,-3.99,-3.62,-3.65
"2",2005,-3.82,-4.78,-4.19,-4.23,-5.36,-4.31,-4.48,-4.24,-5.71,-5.38,-4.97,-4.91,-4.29,-4.33,-5.75,-5.12,-4.72,-3.44,-4.49,-2.6,-2.96,-4.5,-4.53,-4.92,-3.29,-3.53,-4.28,-5.4
"3",2006,-2.5,-3.86,-4.04,-3.16,-2.94,-3.14,-3.59,-3.26,-3.92,-3.36,-3.42,-2.85,-3.54,-2.51,-3.41,-2.8,-3.57,-2.68,-3.21,-2.6,-3.26,-3.87,-2.94,-3.68,-2.93,-3.41,-3.17,-3.68
"4",2007,-3.85,-3.72,-5.02,-3.1,-3.44,-5.31,-5.26,-4.83,-5.68,-5.23,-4.49,-3.8,-5.42,-3.66,-4.4,-4.64,-4.91,-3.6,-5.12,-3.21,-3.58,-6.81,-3.66,-4.12,-2.86,-4.02,-4.64,-3.51
"5",2008,-4.35,-5.19,-6.12,-5.32,-4.84,-5.01,-4.61,-5.66,-6.23,-4.78,-5.43,-4.89,-5.14,-5.58,-5.01,-4.89,-4.5,-4.92,-3.49,-4,-4.71,-6.03,-3.3,-3.73,-3.11,-6.24,-4.84,-4.69
"6",2009,-6.05,-5.24,-6.28,-4.63,-4.29,-4.8,-4.52,-5.22,-5.63,-6.35,-6.06,-5.61,-4,-5.25,-4.84,-4.36,-7.3,-4.77,-4.72,-5.57,-7.91,-6.92,-4.73,-5.81,-3.24,-7.32,-4.18,-5
"7",2010,-3.47,-3.41,-4.04,-3.78,-3.15,-3.73,-2.98,-4.67,-4.69,-4.25,-4.06,-3.19,-3.56,-3.77,-3.24,-3.65,-4.05,-3.51,-3.58,-2.47,-4.65,-4.48,-3.38,-4.08,-2.65,-4.78,-3.67,-3.83
"8",2011,-3.37,-2.43,-3.45,-3.28,-2.95,-3.44,-2.68,-3.92,-3.76,-3.31,-4.08,-2.4,-3.65,-3.15,-3.12,-3.22,-3.28,-3.06,-2.94,-2.31,-3.06,-3.62,-2.72,-3.6,-2.54,-2.92,-3.15,-2.86
"9",2012,-3.65,-3.57,-4.26,-4.14,-3.77,-3.93,-2.43,-3.85,-3.87,-3.83,-4.25,-3.65,-4.04,-3.98,-4.11,-3.53,-4.21,-2.57,-3.18,-2.51,-3.76,-3.36,-2.37,-3.28,-2.31,-2.98,-3.15,-2.7
"10",2013,-3.3,-2.93,-3.56,-3.97,-3.34,-3.53,-1.67,-3.55,-3.03,-2.91,-3.68,-3.06,-3.62,-3.51,-3.53,-3.27,-2.74,-2.02,-1.84,-1.76,-2.6,-2.38,-2.13,-4.06,-2,-2.44,-3.22,-2.7
"11",2014,-2.89,-4.74,-5.44,-4.21,-3.59,-4.96,-2.89,-4.76,-3.45,-3.66,-5.18,-4.55,-4.71,-5.11,-5.71,-3.35,-3.79,-2.39,-4.43,-2.55,-3.66,-4.57,-2.89,-4.49,-2.69,-3.06,-3.08,-2.4
"12",2015,-2.63,-3.32,-4.61,-4.12,-4.25,-4.2,-2.79,-3.58,-4.67,-3.86,-4.7,-3.49,-4.5,-4.68,-4.67,-3,-2.5,-2.28,-3.15,-1.62,-2.54,-2.22,-3.73,-3.63,-2.1,-2.03,-2.25,-3.12
"13",2016,-3.36,-4.22,-4.15,-4.06,-3.64,-4.09,-3.33,-2.8,-4.55,-3.1,-5.05,-4.13,-4.33,-4.65,-4.71,-2.55,-3.63,-2.47,-3.39,-1.68,-3.4,-3.05,-2.76,-3.83,-2.24,-2.58,-2.38,-2.75
"14",2017,-2.67,-3.35,-3.26,-3.45,-3.65,-3.78,-2.7,-2.72,-2.94,-2.9,-3.67,-3.47,-3.63,-2.64,-3.52,-2.84,-2.58,-2.46,-2.96,-1.16,-2.87,-1.85,-3.8,-3.19,-2.2,-1.73,-2.18,-2.57
"15",2018,-2.63,-3.54,-4.16,-4.07,-4.08,-4.17,-3.62,-3.32,-5.14,-2.87,-4.34,-3.94,-4.44,-3.23,-4.3,-3.63,-2.31,-2.76,-2.73,-1.07,-2.29,-1.68,-2.85,-3.07,-3.06,-1.59,-3.07,-3.18
