"","NSEBANK.Adjusted"
"1",6897.100098
"2",7059.649902
"3",7401.850098
"4",7390.149902
"5",7464.5
"6",7650.899902
"7",7629.149902
"8",7755.899902
"9",7833.649902
"10",8042.200195
"11",7987.5
"12",8097.899902
"13",8035.899902
"14",7845.25
"15",7626.399902
"16",7895.850098
"17",8030.649902
"18",8158.799805
"19",7934
"20",8286.299805
"21",8452.200195
"22",8099.899902
"23",7608.75
"24",7423.799805
"25",7568
"26",8101.100098
"27",8228.650391
"28",8428.650391
"29",8749.900391
"30",9000.75
"31",8934.150391
"32",9013.150391
"33",9198.599609
"34",9560.700195
"35",9397.549805
"36",9216.299805
"37",9090.200195
"38",8876.25
"39",8758.200195
"40",9060
"41",9613.049805
"42",9454.700195
"43",9474.150391
"44",9396.25
"45",9277.849609
"46",8829.799805
"47",8998.799805
"48",8977.900391
"49",9122.450195
"50",9070.75
"51",8970.849609
"52",9124.400391
"53",9375.75
"54",9397.549805
"55",9367.099609
"56",9581.299805
"57",9620.150391
"58",9796.099609
"59",9864.599609
"60",10090.700195
"61",10056.700195
"62",9920.450195
"63",9803.150391
"64",9426.700195
"65",9279.200195
"66",9240.349609
"67",9245.450195
"68",9563.549805
"69",9755.200195
"70",9785.049805
"71",9828.349609
"72",9863.450195
"73",9905.25
"74",10250.849609
"75",10100.700195
"76",10233.200195
"77",10391.099609
"78",10355.599609
"79",10306.450195
"80",10266.849609
"81",10561.549805
"82",10698.349609
"83",10465.700195
"84",10346.950195
"85",10261.5
"86",9739.900391
"87",9038.950195
"88",8682.450195
"89",9259.200195
"90",9133.849609
"91",9752.25
"92",9901.900391
"93",9569.599609
"94",9404.150391
"95",9226.25
"96",9327.049805
"97",9561.5
"98",9397.799805
"99",9185.650391
"100",8960.450195
"101",8817
"102",8419.25
"103",8512.349609
"104",8748.75
"105",9125.200195
"106",9380.049805
"107",9404.200195
"108",9423.450195
"109",9129.099609
"110",8946.200195
"111",8685.099609
"112",8666.5
"113",8742.25
"114",8719.599609
"115",8608.25
"116",8688.349609
"117",8047.450195
"118",7736.600098
"119",7588.350098
"120",7268.149902
"121",7272.5
"122",7356.399902
"123",7341.549805
"124",6914.649902
"125",7106
"126",6556.200195
"127",6472.799805
"128",6456.549805
"129",6634.600098
"130",7147.149902
"131",7120.899902
"132",6969.299805
"133",7037.850098
"134",6655
"135",6608.100098
"136",6772.700195
"137",6746.100098
"138",6545.149902
"139",6832.399902
"140",6862.700195
"141",7059.549805
"142",6872.850098
"143",6838.450195
"144",6916.75
"145",6951.899902
"146",7165.049805
"147",7425.450195
"148",7520.899902
"149",7378.049805
"150",7391.899902
"151",7616.299805
"152",7590.049805
"153",7737.450195
"154",7629
"155",7871.899902
"156",7851.5
"157",7814.549805
"158",7743.600098
"159",7518.799805
"160",7299
"161",7330.549805
"162",7340.950195
"163",7324.850098
"164",7508.149902
"165",7644.600098
"166",7459.200195
"167",7374.25
"168",7147.299805
"169",7009.049805
"170",6767.450195
"171",6593.950195
"172",6780.899902
"173",6576.75
"174",6584.350098
"175",6347.149902
"176",6301.200195
"177",6113.649902
"178",6211.799805
"179",6140.049805
"180",5949.200195
"181",5814.350098
"182",5971.25
"183",5999.350098
"184",5993.149902
"185",6127.75
"186",6425.649902
"187",6200.549805
"188",5957.25
"189",5758.600098
"190",5593.75
"191",5489.850098
"192",5480.700195
"193",5512.149902
"194",5210.899902
"195",5027.049805
"196",4732.850098
"197",5025.75
"198",4851.350098
"199",4990.899902
