"","NSEI.Adjusted"
"1",4494.649902
"2",4546.200195
"3",4732.350098
"4",4747.549805
"5",4837.549805
"6",4932.200195
"7",4938.850098
"8",4940.5
"9",5000.549805
"10",5021.350098
"11",5068.950195
"12",5210.799805
"13",5208.649902
"14",5185.850098
"15",5085.100098
"16",5327.25
"17",5441.450195
"18",5524.850098
"19",5428.25
"20",5670.399902
"21",5668.049805
"22",5559.299805
"23",5351
"24",5215.299805
"25",5184
"26",5473.700195
"27",5496.149902
"28",5568.950195
"29",5702.299805
"30",5905.899902
"31",5868.75
"32",5900.649902
"33",5866.450195
"34",5932.399902
"35",5847.299805
"36",5786.5
"37",5782.350098
"38",5698.75
"39",5617.100098
"40",5695.399902
"41",5937.899902
"42",5912.100098
"43",5906.850098
"44",5907.649902
"45",5780.899902
"46",5561.049805
"47",5519.350098
"48",5608.600098
"49",5731.700195
"50",5698.149902
"51",5617.549805
"52",5634.600098
"53",5762.75
"54",5865
"55",5858.350098
"56",5940
"57",5954.700195
"58",5974.299805
"59",5960.600098
"60",6097.25
"61",6159.299805
"62",6058.100098
"63",6047.700195
"64",5777
"65",5742.299805
"66",5751.149902
"67",5766.5
"68",5985.100098
"69",6070.75
"70",6081.5
"71",6079.700195
"72",6138.600098
"73",6144.350098
"74",6179.399902
"75",6178.549805
"76",6274.299805
"77",6279.100098
"78",6287.850098
"79",6272
"80",6156.950195
"81",6200.100098
"82",6206.799805
"83",6074.25
"84",5935.75
"85",5913.200195
"86",5705.299805
"87",5208.799805
"88",4899.299805
"89",5203.399902
"90",5033.450195
"91",5383.350098
"92",5274.100098
"93",5280.799805
"94",5167.600098
"95",5137.450195
"96",5317.25
"97",5463.5
"98",5483.899902
"99",5322.549805
"100",5133.25
"101",5120.350098
"102",4857
"103",4838.25
"104",4929.450195
"105",5202
"106",5302.899902
"107",5276.899902
"108",5280.799805
"109",5154.450195
"110",5191.799805
"111",5110.75
"112",5200.700195
"113",5270.049805
"114",5268.399902
"115",5285.100098
"116",5223.5
"117",4953
"118",4864.25
"119",4921.399902
"120",4771.600098
"121",4800.399902
"122",4865.899902
"123",4872
"124",4623.600098
"125",4745.799805
"126",4503.100098
"127",4533
"128",4573.950195
"129",4609.850098
"130",4877.5
"131",4828.850098
"132",4830.25
"133",4942
"134",4734.5
"135",4739.549805
"136",4754.200195
"137",4771.600098
"138",4647
"139",4761.200195
"140",4709.649902
"141",4747.049805
"142",4733
"143",4777.799805
"144",4879.649902
"145",4887.299805
"146",4958.399902
"147",5037
"148",5049.299805
"149",5022.799805
"150",4999.850098
"151",5111.700195
"152",5089.649902
"153",5195.5
"154",5165.899902
"155",5228.200195
"156",5192.25
"157",5144.649902
"158",5135.5
"159",5081.700195
"160",4982.600098
"161",5012.649902
"162",4957.799805
"163",5011.75
"164",5115.25
"165",5157.700195
"166",5104.950195
"167",5117.649902
"168",5025.450195
"169",4946.549805
"170",4875.049805
"171",4859.799805
"172",4918.350098
"173",4835.299805
"174",4870.100098
"175",4739.600098
"176",4715.899902
"177",4585.600098
"178",4676.950195
"179",4627.799805
"180",4500.950195
"181",4449.799805
"182",4523.600098
"183",4539.350098
"184",4517.100098
"185",4572.5
"186",4653
"187",4582.399902
"188",4504.25
"189",4347.549805
"190",4266.399902
"191",4191.100098
"192",4252.649902
"193",4315.850098
"194",4136.649902
"195",4040.550049
"196",3896.75
"197",4093.350098
"198",3925.75
"199",4016
"200",4030
"201",3988.550049
"202",4157.100098
"203",4162.200195
"204",4049
"205",4039.699951
"206",3861.100098
"207",3816.699951
"208",3947.199951
"209",4092.25
"210",4159.5
"211",4240.100098
"212",4476.799805
"213",4433.549805
"214",4311.850098
"215",4332.100098
"216",4189.850098
"217",4313.549805
"218",4332.950195
"219",4413.549805
"220",4395.350098
"221",4502.850098
"222",4517.549805
"223",4523.850098
"224",4529.5
"225",4620.399902
"226",4552.25
"227",4529.049805
"228",4430.700195
"229",4393.049805
"230",4368.25
"231",4415.75
"232",4283.850098
"233",4327.450195
"234",4335.350098
"235",4337.5
"236",4292.100098
"237",4214
"238",4360
"239",4348.649902
"240",4504
"241",4447.75
"242",4352.299805
"243",4482.299805
"244",4468.700195
"245",4400.25
"246",4290.299805
"247",4228.450195
"248",4072.899902
"249",4074.899902
"250",4008.25
"251",4038.149902
"252",4245.25
"253",4223.049805
"254",4126.899902
"255",4161.25
"256",4110.549805
"257",3985.25
"258",3850.050049
"259",3921.199951
"260",3950.75
"261",3818.300049
"262",3602.350098
"263",3606.600098
"264",3513.649902
"265",3279.949951
"266",3490.699951
"267",3518.649902
"268",3338.399902
"269",3269.300049
"270",3074.350098
"271",3122.800049
"272",3234.899902
"273",3065.149902
"274",2943.149902
"275",2584
"276",2524.199951
"277",2697.050049
"278",2885.600098
"279",3043.850098
"280",3142.100098
"281",2994.949951
"282",2892.649902
"283",2973
"284",3148.25
"285",2938.649902
"286",2848.449951
"287",2810.350098
"288",2799.550049
"289",2683.149902
"290",2635
"291",2553.149902
"292",2693.449951
"293",2708.25
"294",2654
"295",2752.25
"296",NA
"297",2755.100098
"298",2682.899902
"299",2657.800049
"300",2656.449951
"301",2788
"302",2714.399902
"303",2784
"304",2928.25
"305",2920.149902
"306",2921.350098
"307",2981.199951
"308",3041.75
"309",2954.350098
"310",3060.75
"311",3077.5
"312",3039.300049
"313",2968.649902
"314",2916.850098
"315",2857.25
"316",2922.199951
"317",2979.5
"318",2959.149902
"319",3046.75
"320",3121.449951
"321",3112.800049
"322",2920.399902
"323",2873
"324",2773.100098
"325",2744.949951
"326",2835.300049
"327",2736.699951
"328",2828.449951
"329",2846.199951
"330",2796.600098
"331",2706.149902
"332",2713.800049
"333",2678.550049
"334",2771.350098
"335",2849.5
"336",2823.949951
"337",2874.800049
"338",2766.649902
"339",2783.899902
"340",2803.050049
"341",2780.050049
"342",2843.100098
"343",2919.899902
"344",2934.5
"345",2925.699951
"346",2893.050049
"347",2948.350098
"348",2848.5
"349",2770.5
"350",2776.149902
"351",2789.350098
"352",2736.449951
"353",2733.899902
"354",2762.5
"355",2785.649902
"356",2763.649902
"357",2674.600098
"358",2622.399902
"359",2645.199951
"360",2576.699951
"361",2620.149902
"362",2573.149902
"363",2617.449951
"364",2719.25
"365",2777.25
"366",2757.449951
"367",2794.699951
"368",2807.149902
"369",2807.050049
"370",2939.899902
"371",2938.699951
"372",2984.350098
"373",3082.25
"374",3108.649902
"375",2978.149902
"376",3020.949951
"377",3060.350098
"378",3211.050049
"379",3256.600098
"380",3342.949951
"381",3342.050049
"382",3382.600098
"383",3484.149902
"384",3369.5
"385",3384.399902
"386",3377.100098
"387",3365.300049
"388",3330.300049
"389",3423.699951
"390",3480.75
"391",3470
"392",3362.350098
"393",3473.949951
"394",NA
"395",3654
"396",3661.899902
"397",3625.050049
"398",3683.899902
"399",3620.699951
"400",3554.600098
"401",3681.100098
"402",3635.25
"403",3593.449951
"404",3671.649902
"405",4323.149902
"406",4318.450195
"407",4270.299805
"408",4210.899902
"409",4238.5
"410",4237.549805
"411",4116.700195
"412",4276.049805
"413",4337.100098
"414",4448.950195
"415",4529.899902
"416",4525.25
"417",4530.700195
"418",4572.649902
"419",4586.899902
"420",4429.899902
"421",4550.950195
"422",4655.25
"423",4637.700195
"424",4583.399902
"425",4484
"426",4517.799805
"427",4356.149902
"428",4251.399902
"429",4313.600098
"430",4235.25
"431",4247
"432",4292.950195
"433",4241.850098
"434",4375.5
"435",4390.950195
"436",4291.100098
"437",4340.899902
"438",4348.850098
"439",4424.25
"440",4165.700195
"441",4202.149902
"442",4078.899902
"443",4080.949951
"444",4003.899902
"445",3974.050049
"446",4111.399902
"447",4233.5
"448",4231.399902
"449",4374.950195
"450",4502.25
"451",4469.100098
"452",4398.899902
"453",4523.75
